part,reference product,activity,location,nacelle,rotor,other,transformer + cabinet,foundation,tower,platform,grid connector
fixed,"wire drawing, copper","market for wire drawing, copper",GLO,,,,,,,,1.00
fixed,"polyvinylchloride, bulk polymerised","market for polyvinylchloride, bulk polymerised",GLO,,,,,,,,1.00
fixed,"gravel, crushed","market for gravel, crushed",BR,,,,,1.00,,,
fixed,"diesel, burned in building machine","market for diesel, burned in building machine",GLO,,,1.00,,,,,
fixed,"concrete, normal strength","market group for concrete, normal strength",GLO,,,,,1.00,,,
fixed,"epoxy resin, liquid","market for epoxy resin, liquid",RoW,,,,,,1.00,,
fixed,"gravel, crushed","market for gravel, crushed",CA-QC,,,,,1.00,,,
fixed,"welding, arc, steel","market for welding, arc, steel",GLO,,,,,,,1.00,
fixed,"epoxy resin, liquid","market for epoxy resin, liquid",RER,,,,,,1.00,,
fixed,"gravel, round","market for gravel, round",CH,,,,,1.00,,,
fixed,"gravel, crushed","market for gravel, crushed",CH,,,,,1.00,,,
fixed,scrap steel,market for scrap steel,CH,,,,,,1.00,,
fixed,scrap steel,market for scrap steel,Europe without Switzerland,,,,,,1.00,,
fixed,scrap steel,market for scrap steel,RoW,,,,,,1.00,,
